code,short_description,long_description,category,chapter,is_billable
A00,Cholera,Cholera,A00,1,true
A000,"Cholera due to Vibrio cholerae 01, biovar cholerae","Cholera due to Vibrio cholerae 01, biovar cholerae",A00,1,true
A001,"Cholera due to Vibrio cholerae 01, biovar eltor","Cholera due to Vibrio cholerae 01, biovar eltor",A00,1,true
A009,"Cholera, unspecified","Cholera, unspecified",A00,1,true
A01,Typhoid and paratyphoid fevers,Typhoid and paratyphoid fevers,A01,1,true
A010,Typhoid fever,Typhoid fever,A01,1,true
A0100,"Typhoid fever, unspecified","Typhoid fever, unspecified",A01,1,true
A0101,Typhoid meningitis,Typhoid meningitis,A01,1,true
A0102,Typhoid fever with heart involvement,Typhoid fever with heart involvement,A01,1,true
A0103,Typhoid pneumonia,Typhoid pneumonia,A01,1,true
A0104,Typhoid arthritis,Typhoid arthritis,A01,1,true
A0105,Typhoid osteomyelitis,Typhoid osteomyelitis,A01,1,true
A0109,Typhoid fever with other complications,Typhoid fever with other complications,A01,1,true
A011,Paratyphoid fever A,Paratyphoid fever A,A01,1,true
A012,Paratyphoid fever B,Paratyphoid fever B,A01,1,true
A013,Paratyphoid fever C,Paratyphoid fever C,A01,1,true
A014,"Paratyphoid fever, unspecified","Paratyphoid fever, unspecified",A01,1,true
A02,Other salmonella infections,Other salmonella infections,A02,1,true
A020,Salmonella enteritis,Salmonella enteritis,A02,1,true
A021,Salmonella sepsis,Salmonella sepsis,A02,1,true
A022,Localized salmonella infections,Localized salmonella infections,A02,1,true
A0220,"Localized salmonella infection, unspecified","Localized salmonella infection, unspecified",A02,1,true
A0221,Salmonella meningitis,Salmonella meningitis,A02,1,true
A0222,Salmonella pneumonia,Salmonella pneumonia,A02,1,true
A0223,Salmonella arthritis,Salmonella arthritis,A02,1,true
A0224,Salmonella osteomyelitis,Salmonella osteomyelitis,A02,1,true
A0225,Salmonella pyelonephritis,Salmonella pyelonephritis,A02,1,true
A0229,Salmonella with other localized infection,Salmonella with other localized infection,A02,1,true
A028,Other specified salmonella infections,Other specified salmonella infections,A02,1,true
A029,"Salmonella infection, unspecified","Salmonella infection, unspecified",A02,1,true
A03,Shigellosis,Shigellosis,A03,1,true
A030,Shigellosis due to Shigella dysenteriae,Shigellosis due to Shigella dysenteriae,A03,1,true
A031,Shigellosis due to Shigella flexneri,Shigellosis due to Shigella flexneri,A03,1,true
A032,Shigellosis due to Shigella boydii,Shigellosis due to Shigella boydii,A03,1,true
