code,short_description,long_description,category,chapter,is_billable
A00.0,Cholera due to V. cholerae 01 biovar cholerae,Cholera due to Vibrio cholerae 01 biovar cholerae,Intestinal infectious diseases,1,true
A00.1,Cholera due to V. cholerae 01 biovar eltor,Cholera due to Vibrio cholerae 01 biovar eltor,Intestinal infectious diseases,1,true
A00.9,Cholera unspecified,Cholera unspecified,Intestinal infectious diseases,1,true
A01.0,Typhoid fever,Typhoid fever,Intestinal infectious diseases,1,true
A01.1,Paratyphoid fever A,Paratyphoid fever A,Intestinal infectious diseases,1,true
A01.2,Paratyphoid fever B,Paratyphoid fever B,Intestinal infectious diseases,1,true
A01.3,Paratyphoid fever C,Paratyphoid fever C,Intestinal infectious diseases,1,true
A01.4,Paratyphoid fever unspecified,Paratyphoid fever unspecified,Intestinal infectious diseases,1,true
A02.0,Salmonella enteritis,Salmonella enteritis,Intestinal infectious diseases,1,true
A02.1,Salmonella sepsis,Salmonella sepsis,Intestinal infectious diseases,1,true
A03.0,Shigellosis due to Shigella dysenteriae,Shigellosis due to Shigella dysenteriae,Intestinal infectious diseases,1,true
A03.9,Shigellosis unspecified,Shigellosis unspecified,Intestinal infectious diseases,1,true
A04.0,Enteropathogenic E. coli infection,Enteropathogenic Escherichia coli infection,Intestinal infectious diseases,1,true
A04.5,Campylobacter enteritis,Campylobacter enteritis,Intestinal infectious diseases,1,true
A05.0,Foodborne staphylococcal intoxication,Foodborne staphylococcal intoxication,Intestinal infectious diseases,1,true
A05.9,Bacterial foodborne intoxication unspecified,Bacterial foodborne intoxication unspecified,Intestinal infectious diseases,1,true
A06.0,Acute amebic dysentery,Acute amebic dysentery,Intestinal infectious diseases,1,true
A06.9,Amebiasis unspecified,Amebiasis unspecified,Intestinal infectious diseases,1,true
A07.1,Giardiasis,Giardiasis [lambliasis],Intestinal infectious diseases,1,true
A08.0,Rotaviral enteritis,Rotaviral enteritis,Intestinal infectious diseases,1,true
A09,Infectious gastroenteritis and colitis unspecified,Infectious gastroenteritis and colitis unspecified,Intestinal infectious diseases,1,true
A15.0,Tuberculosis of lung,Tuberculosis of lung confirmed by sputum microscopy,Tuberculosis,1,true
A15.3,Tuberculosis of lung confirmed by other means,Tuberculosis of lung confirmed by unspecified means,Tuberculosis,1,true
A16.0,Tuberculosis of lung bacteriologically negative,Tuberculosis of lung bacteriologically and histologically negative,Tuberculosis,1,true
A16.2,Tuberculosis of lung without bacteriological confirmation,Tuberculosis of lung without mention of bacteriological or histological confirmation,Tuberculosis,1,true
A17.0,Tuberculous meningitis,Tuberculous meningitis,Tuberculosis,1,true
A18.0,Tuberculosis of bones and joints,Tuberculosis of bones and joints,Tuberculosis,1,true
A19.0,Acute miliary tuberculosis single site,Acute miliary tuberculosis of a single specified site,Tuberculosis,1,true
A19.9,Miliary tuberculosis unspecified,Miliary tuberculosis unspecified,Tuberculosis,1,true
A30.9,Leprosy unspecified,Leprosy unspecified,Other bacterial diseases,1,true
A33,Tetanus neonatorum,Tetanus neonatorum,Other bacterial diseases,1,true
A35,Other tetanus,Other tetanus,Other bacterial diseases,1,true
A36.0,Pharyngeal diphtheria,Pharyngeal diphtheria,Other bacterial diseases,1,true
A37.0,Whooping cough due to B. pertussis,Whooping cough due to Bordetella pertussis,Other bacterial diseases,1,true
A38,Scarlet fever,Scarlet fever,Other bacterial diseases,1,true
A39.0,Meningococcal meningitis,Meningococcal meningitis,Other bacterial diseases,1,true
A40.0,Sepsis due to streptococcus group A,Sepsis due to streptococcus group A,Other bacterial diseases,1,true
A41.0,Sepsis due to Staphylococcus aureus,Sepsis due to Staphylococcus aureus,Other bacterial diseases,1,true
A41.9,Sepsis unspecified organism,Sepsis unspecified organism,Other bacterial diseases,1,true
A46,Erysipelas,Erysipelas,Other bacterial diseases,1,true
A49.0,Staphylococcal infection unspecified site,Staphylococcal infection unspecified site,Other bacterial diseases,1,true
A49.1,Streptococcal infection unspecified site,Streptococcal and enterococcal infection unspecified site,Other bacterial diseases,1,true
B00.9,Herpesviral infection unspecified,Herpesviral infection unspecified,Viral infections,1,true
B01.9,Varicella without complication,Varicella without complication,Viral infections,1,true
B02.9,Zoster without complication,Zoster without complication,Viral infections,1,true
