code,component,property,time_aspect,system,scale_type,method_type,long_common_name,short_name
69049-5,Coagulation specialist review,Imp,Pt,XXX,Nar,,"Factor X Inhibitor Profile, Professional Interpretation","Factor X Inhibitor Profile, Professional Interpretation"
96457-7,Coagulation factor X activity & inhibitor panel,-,Pt,PPP,-,Coag,"Factor X Inhibitor Evaluation, Plasma","Factor X Inhibitor Evaluation, Plasma"
39556-6,Coagulation factor X inhibitor,PrThr,Pt,PPP,Ord,Coag,"Factor X Inhibitor Screen, Plasma","Factor X Inhibitor Screen, Plasma"
96453-6,Coagulation factor XI activity & inhibitor panel,-,Pt,PPP,-,Coag,"Factor XI Inhibitor Evaluation, Plasma","Factor XI Inhibitor Evaluation, Plasma"
80603-4,Coagulation factor XI inhibitor,PrThr,Pt,PPP,Ord,Coag,"Factor XI Inhibitor Screen, Plasma","Factor XI Inhibitor Screen, Plasma"
26801-1,Protein,MRat,12H,Urine,Qn,,"Protein, Total, 12 Hour, Urine","Protein, Total, 12 Hour, Urine"
6765-2,17-Hydroxypregnenolone,MCnc,Pt,Ser/Plas,Qn,,"17-Hydroxypregnenolone, Serum","17-Hydroxypregnenolone, Serum"
97750-4,Cancer Ag 19-9,ACnc,Pt,Asp,Qn,,"Carbohydrate Antigen 19-9 (CA 19-9), Pancreatic Cyst Fluid","Carbohydrate Antigen 19-9 (CA 19-9), Pancreatic Cyst Fluid"
50781-4,Cancer Ag 19-9,ACnc,Pt,Periton fld,Qn,,"Carbohydrate Antigen 19-9 (CA 19-9), Peritoneal Fluid","Carbohydrate Antigen 19-9 (CA 19-9), Peritoneal Fluid"
80687-7,CYP1A2 gene targeted mutation analysis,Find,Pt,Bld/Tiss,Doc,Molgen,"Cytochrome P450 1A2 Genotype, Varies","Cytochrome P450 1A2 Genotype, Varies"
96629-1,HLA-A & B & C (class I) typing panel,-,Pt,Bld/Tiss,-,Low resolution,"Human Leukocyte Antigens (HLA) A-B-C Disease Association Typing Low Resolution, Blood","Human Leukocyte Antigens (HLA) A-B-C Disease Association Typing Low Resolution, Blood"
74872-3,21-Deoxycortisol,MCnc,Pt,Ser/Plas,Qn,,"21-Deoxycortisol, Serum","21-Deoxycortisol, Serum"
85363-0,21-Hydroxylase Ab,PrThr,Pt,Ser,Ord,,"21-Hydroxylase Antibodies, Serum","21-Hydroxylase Antibodies, Serum"
