code,component,property,time_aspect,system,scale_type,method_type,long_common_name,short_name
5810-7,Observation,SpGrav,Pt,Urine,Qn,Refractometry,Specific Gravity,Specific Gravity
5315-7,Rickettsia spotted fever group Ab.IgM,Titr,Pt,Ser,SemiQn,IF,"Spotted Fever Group Ab, IgM, S","Spotted Fever Group Ab, IgM, S"
5313-2,Rickettsia spotted fever group Ab.IgG,Titr,Pt,Ser,SemiQn,IF,"Spotted Fever Group Ab, IgG, S","Spotted Fever Group Ab, IgG, S"
76651-9,Zinc transporter 8 Ab,ACnc,Pt,Ser/Plas,Qn,IA,ZnT8 Antibodies,ZnT8 Antibodies
91856-5,Human papilloma virus 16 DNA,PrThr,Pt,Genital,Ord,Probe.amp.tar,"HPV High Risk type 16, PCR","HPV High Risk type 16, PCR"
91854-0,Human papilloma virus 18 DNA,PrThr,Pt,Genital,Ord,Probe.amp.tar,"HPV High Risk type 18, PCR","HPV High Risk type 18, PCR"
91853-2,Human papilloma virus 31+33+35+39+45+51+52+56+58+59+66+68 DNA,PrThr,Pt,Genital,Ord,Probe.amp.tar,"HPV other High Risk types, PCR","HPV other High Risk types, PCR"
112587-1,Human papilloma virus 16 DNA,LnCnc,Pt,Plas.cfDNA,Qn,Probe.amp.tar,HPV-16 ddPCR Quant w/ Reflex,HPV-16 ddPCR Quant w/ Reflex
112582-2,Human papilloma virus 35 DNA,LnCnc,Pt,Plas.cfDNA,Qn,Probe.amp.tar,HPV-35 ddPCR Quant,HPV-35 ddPCR Quant
112585-5,Human papilloma virus 33 DNA,LnCnc,Pt,Plas.cfDNA,Qn,Probe.amp.tar,HPV-33 ddPCR Quant,HPV-33 ddPCR Quant
112583-0,Human papilloma virus 31 DNA,LnCnc,Pt,Plas.cfDNA,Qn,Probe.amp.tar,HPV-31 ddPCR Quant,HPV-31 ddPCR Quant
112584-8,Human papilloma virus 18 DNA,LnCnc,Pt,Plas.cfDNA,Qn,Probe.amp.tar,HPV-18 ddPCR Quant,HPV-18 ddPCR Quant
Not Provided,,,,,,,LiquidHALLMARK CSF,LiquidHALLMARK CSF
32219-8,Soluble liver Ab,ACnc,Pt,Ser,Qn,IA,"Soluble Liver Antigen Ab, IgG, S","Soluble Liver Antigen Ab, IgG, S"
59466-3,Hematologist review,Imp,Pt,XXX,Nar,,Peripheral Blood Smear Review,Peripheral Blood Smear Review
69047-9,Geneticist review,Imp,Pt,XXX,Nar,,Interpretation,Interpretation
18771-6,Provider.signing name,Pn,Pt,Report,Nom,,Signing Pathologist,Signing Pathologist
31208-2,Specimen,Source,Pt,XXX,Nom,,Specimen Type,Specimen Type
75892-0,"t(9;22)(q34.1;q11)(ABL1,BCR) fusion transcript break points",Prid,Pt,Bld/Tis,Nom,Molgen,BCRABL Fusion,BCRABL Fusion
94359-7,Glutamate decarboxylase 65 Ab.IgG+IgM,SCnc,Pt,CSF,Qn,IA,"GAD65 Ab Assay, CSF","GAD65 Ab Assay, CSF"
33380-7,Coccidioides sp Ab,Titr,Pt,Ser,SemiQn,Comp fix,"Coccidioides Ab, CompF,S","Coccidioides Ab, CompF,S"
94345-6,Glutamate decarboxylase 65 Ab.IgG+IgM,SCnc,Pt,Ser,Qn,IA,"GAD65 Ab Assay, S","GAD65 Ab Assay, S"
40752-8,Epstein Barr virus early Ab.IgG,PrThr,Pt,Ser,Ord,IA,"EBV EA IgG Ab, S","EBV EA IgG Ab, S"
26972-0,Herpes virus 7 Ab.IgG,Titr,Pt,Ser,SemiQn,IF,Herpesvirus 7 Ab IgG,Herpesvirus 7 Ab IgG
27177-5,Herpes virus 7 Ab.IgM,Titr,Pt,Ser,SemiQn,IF,Herpesvirus 7 Ab IgM,Herpesvirus 7 Ab IgM
39782-8,Delta aminolevulinate/Creatinine,SRto,Pt,Urine,Qn,,"Aminolevulinic Acid, U","Aminolevulinic Acid, U"
2484-4,Insulin-like growth factor-I,MCnc,Pt,Ser/Plas,Qn,,"Insulin-Like Growth Factor 1, S","Insulin-Like Growth Factor 1, S"
35551-1,Phoma betae Ab.IgG,MCnc,Pt,Ser,Qn,,"Phoma betae, IgG Ab","Phoma betae, IgG Ab"
49687-7,Trichoderma viride Ab.IgG,MCnc,Pt,Ser,Qn,,"Trichoderma viride, IgG Ab","Trichoderma viride, IgG Ab"
69048-7,Immunologist review,Imp,Pt,XXX,Nar,,Hypersensitivity Interpretation,Hypersensitivity Interpretation
26951-4,Alternaria alternata Ab.IgG,MCnc,Pt,Ser,Qn,,"Alternaria alternata, IgG Ab","Alternaria alternata, IgG Ab"
26954-8,Aspergillus fumigatus Ab.IgG,MCnc,Pt,Ser,Qn,,"Aspergillus fumigatus, IgG Ab","Aspergillus fumigatus, IgG Ab"
26955-5,Aureobasidium pullulans Ab.IgG,MCnc,Pt,Ser,Qn,,"Aureobasidium pullulans, IgG Ab","Aureobasidium pullulans, IgG Ab"
105270-3,Laceyella sacchari Ab.IgG,MCnc,Pt,Ser,Qn,,"Laceyella sacchari, IgG Ab","Laceyella sacchari, IgG Ab"
26948-0,Saccharopolyspora rectivirgula Ab.IgG,MCnc,Pt,Ser,Qn,,"Micropolyspora faeni, IgG Ab","Micropolyspora faeni, IgG Ab"
26957-1,Penicillium notatum Ab.IgG,MCnc,Pt,Ser,Qn,,"Penicillium chrysogenum, IgG Ab","Penicillium chrysogenum, IgG Ab"
59354-1,Tapentadol,MCnc,Pt,Ser/Plas,Qn,,Tapentadol,Tapentadol
73561-3,Insulin-like growth factor-I,Zscore,Pt,Ser/Plas,Qn,,Z-score,Z-score
85069-3,Lab test method,Type,Pt,Specimen,Nom,*,Method,Method
62364-5,Test performance information,Find,Pt,XXX,Nar,,Disclaimer,Disclaimer
80398-1,Unique identifier,ID,Pt,Current sample,Nom,,Tissue ID,Tissue ID
82939-0,Genetic variant details,Find,Pt,Bld/Tiss,Nar,Molgen,Result,Result
48767-8,Annotation comment,Imp,Pt,{system},Nar,,Additional Information,Additional Information
3282-1,Coagulation,Time,Pt,PPP,Qn,Coag.surface induced.hexagonal phase phospholipid,Hexagonal Phase Phospholipid,Hexagonal Phase Phospholipid
112278-7,Mycobacterium abscessus complex subspecies identification,PrThr,Pt,Isolate/Specimen,Ord,Molgen,"M abscessus subspecies ID, NGS","M abscessus subspecies ID, NGS"
40867-4,11-Ketoetiocholanolone,MRat,24H,Urine,Qn,,11-Oxoetiocholanolone,11-Oxoetiocholanolone
11177-3,Beta lactoglobulin Ab.IgE,ACnc,Pt,Ser,Qn,,"Beta-Lactoglobulin, IgE","Beta-Lactoglobulin, IgE"
96267-0,Delta Coagulation,TimeDif,Pt,PPP,Qn,Coag.surface induced.hexagonal phase phospholipid,HEX LA Delta,HEX LA Delta
5959-2,Coagulation,Time,Pt,PPP,Qn,Coag.tissue factor induced.factor substitution.immediately after addition of normal plasma,PT Mix 1:1,PT Mix 1:1
5946-9,Coagulation,Time,Pt,PPP,Qn,Coag.surface induced.factor substitution.immediately after addition of normal plasma,APTT Mix 1:1,APTT Mix 1:1
5902-2,Coagulation,Time,Pt,PPP,Qn,Coag.tissue factor induced,"Prothrombin Time, P","Prothrombin Time, P"
56026-8,Pyrazinamide,Susc,Pt,Isolate,OrdQn,Method for Slow-growing mycobacteria.antibiotic concentration at 300.0 ug/mL,"Susceptibility, Mtb Complex, PZA","Susceptibility, Mtb Complex, PZA"
47255-5,Procollagen type I.N-terminal propeptide,MCnc,Pt,Ser/Plas,Qn,,"Procollagen I Intact N-Terminal, S","Procollagen I Intact N-Terminal, S"
46717-5,Coagulation,Time,Pt,PPP,Qn,Coag.thrombin induced.factor substitution.immediately after addition of bovine thrombin,"Thrombin Time (Bovine), P","Thrombin Time (Bovine), P"
34571-0,Coagulation,Time,Pt,PPP,Qn,Coag.surface induced.lupus sensitive,PTT-LA Screen,PTT-LA Screen
81694-2,PMS2 Ag,PrThr,Pt,Cancer specimen,Ord,Immune stain,PMS2 IHC,PMS2 IHC
81693-4,MSH-6 Ag,PrThr,Pt,Cancer specimen,Ord,Immune stain,MSH6 IHC,MSH6 IHC
81692-6,MSH-2 Ag,PrThr,Pt,Cancer specimen,Ord,Immune stain,MSH2 IHC,MSH2 IHC
81691-8,MLH-1 Ag,PrThr,Pt,Cancer specimen,Ord,Immune stain,MLH1 IHC,MLH1 IHC
30211-7,Specimen collection,Time,*,^Specimen,Qn,,Hours Collected,Hours Collected
29771-3,Hemoglobin,PrThr,Pt,Stool^Patient.gastrointestinal.lower,Ord,IA,"Occult Blood, Fecal","Occult Blood, Fecal"
75512-4,Coagulation actual/Normal,RelTime,Pt,PPP,Qn,Coag.DRVVT1:1Normal Plasma addition,DRVVT Mix Ratio,DRVVT Mix Ratio
27396-1,Hemoglobin,MCnt,Pt,Stool^Patient.gastrointestinal,Qn,,Fecal Hemoglobin,Fecal Hemoglobin
75506-6,Coagulation,Time,Pt,PPP,Qn,Coag.surface induced.lupus sensitive with excess phospholipid,Platelet Neutralization Procedure,Platelet Neutralization Procedure
15359-3,Coagulation actual/normal,RelTime,Pt,PPP,Qn,Coag.dilute Russell viper venom induced,DRVVT Screen Ratio,DRVVT Screen Ratio
14979-9,Coagulation,Time,Pt,PPP,Qn,Coag.surface induced,"Activated Partial Thrombopl Time, P","Activated Partial Thrombopl Time, P"
6683-7,Coagulation,Time,Pt,PPP,Qn,Coag.reptilase induced,"Reptilase Time, P","Reptilase Time, P"
6303-2,Coagulation,Time,Pt,PPP,Qn,Coag.dilute Russell viper venom induced,DRVVT Screen,DRVVT Screen
6301-6,Coagulation,RelTime,Pt,PPP,Qn,Coag.tissue factor induced.INR,INR,INR
13363-7,Specimen collection,Time,*,Stool,Qn,,Collection Duration,Collection Duration
13362-9,Specimen collection,Time,*,Urine,Qn,,Collection Duration (h),Collection Duration (h)
103619-3,Coagulation,Time,Pt,PPP,Qn,Coag.surface induced.lupus sensitive.buffer (LA control),PNP Buffer Control,PNP Buffer Control
13800-8,Propionylglycine/Creatinine,MRto,Pt,Urine,Qn,,n-Propionylglycine,n-Propionylglycine
13816-4,Tiglylglycine/Creatinine,MRto,Pt,Urine,Qn,,n-Tiglylglycine,n-Tiglylglycine
13692-9,3-Methylglutaconate/Creatinine,MRto,Pt,Urine,Qn,,3-Methylglutaconic acid,3-Methylglutaconic acid
543-9,Mycobacterium sp,Prid,Pt,XXX,Nom,Organism specific culture,"Mycobacterial Culture, Cystic Fibro","Mycobacterial Culture, Cystic Fibro"
18356-6,Methylenedioxymethamphetamine,MCnc,Pt,Ser/Plas,Qn,,Methylenedioxymethamphetamine-MDMA,Methylenedioxymethamphetamine-MDMA
59837-5,Methylenedioxyamphetamine,MCnc,Pt,Ser/Plas,Qn,,Methylenedioxyamphetamine-MDA,Methylenedioxyamphetamine-MDA
33016-7,Methylenedioxyethylamphetamine,MCnc,Pt,Ser/Plas,Qn,,Methylenedioxyethylamphetamine-MDEA,Methylenedioxyethylamphetamine-MDEA
3778-8,Methamphetamine,MCnc,Pt,Ser/Plas,Qn,,Methamphetamine,Methamphetamine
30112-7,Amphetamine,MCnc,Pt,Ser/Plas,Qn,,Amphetamine,Amphetamine
101249-1,Delta-8-tetrahydrocannabinol,MCnc,Pt,Urine,Qn,,Delta-8 Carboxy-Tetrahydrocannabinol by LC-MS/MS,Delta-8 Carboxy-Tetrahydrocannabinol by LC-MS/MS
112387-6,Guselkumab,MCnc,Pt,Ser/Plas,Qn,,"Guselkumab, S","Guselkumab, S"
107550-6,Lymphocyte subset,Prid,Pt,Bld/Tiss,Nom,Molgen,Primary Subset,Primary Subset
104271-2,Primer set	ID,Pt,XXX,Nom,Molgen,,Primer Set,Primer Set
104270-4,J gene rearrangement,Prid,Pt,XXX,Nom,Molgen,Primary J-gene,Primary J-gene
104269-6,V gene rearrangement,Prid,Pt,XXX,Nom,Molgen,Primary V-gene,Primary V-gene
107552-2,Gene mutations present/reference genome sequence,NFr,Pt,Bld/Tiss,Qn,Molgen,Primary Mutation Status %,Primary Mutation Status %
107551-4,IGH mutation status,Prid,Pt,Bld/Tiss,Nom,Molgen,Primary Mutation Status,Primary Mutation Status
21747-1,Immunoglobulin heavy chain gene rearrangements,Arb,Pt,Bld/Tiss,Ord,Molgen,Primary Rearrangement Status,Primary Rearrangement Status
42349-1,Reason for referral,Find,Pt,^Patient,Nar,,Indication for Test,Indication for Test
Bill only; no re,,,,,,,"SOX9 IHC, Tech Only","SOX9 IHC, Tech Only"
47349-6,Streptococcus pneumoniae Danish serotype 33F Ab.IgG,MCnc,Pt,Ser,Qn,IA,Pneumo Ab Type 33F,Pneumo Ab Type 33F
86061-9,Streptococcus pneumoniae Danish serotype 23F Ab.IgG,MCnc,Pt,Ser,Qn,IA,Pneumo Ab Type 23F,Pneumo Ab Type 23F
86053-6,Streptococcus pneumoniae Danish serotype 22F Ab.IgG,MCnc,Pt,Ser,Qn,IA,Pneumo Ab Type 22F,Pneumo Ab Type 22F
86021-3,Streptococcus pneumoniae Danish serotype 19F Ab.IgG,MCnc,Pt,Ser,Qn,IA,Pneumo Ab Type 19F,Pneumo Ab Type 19F
40915-1,Streptococcus pneumoniae Danish serotype 19A Ab.IgG,MCnc,Pt,Ser,Qn,IA,Pneumo Ab Type 19A,Pneumo Ab Type 19A
40913-6,Streptococcus pneumoniae Danish serotype 18C Ab.IgG,MCnc,Pt,Ser,Qn,IA,Pneumo Ab Type 18C,Pneumo Ab Type 18C
85992-6,Streptococcus pneumoniae Danish serotype 14 Ab.IgG,MCnc,Pt,Ser,Qn,IA,Pneumo Ab Type 14,Pneumo Ab Type 14
40911-0,Streptococcus pneumoniae Danish serotype 7F Ab.IgG,MCnc,Pt,Ser,Qn,IA,Pneumo Ab Type 7F,Pneumo Ab Type 7F
40926-8,Streptococcus pneumoniae Danish serotype 9V Ab.IgG,MCnc,Pt,Ser,Qn,IA,Pneumo Ab Type 9V,Pneumo Ab Type 9V
86138-5,Streptococcus pneumoniae Danish serotype 6A Ab.IgG,MCnc,Pt,Ser,Qn,IA,Pneumo Ab Type 6A,Pneumo Ab Type 6A
40905-2,Streptococcus pneumoniae Danish serotype 6B Ab.IgG,MCnc,Pt,Ser,Qn,IA,Pneumo Ab Type 6B,Pneumo Ab Type 6B
85955-3,Streptococcus pneumoniae Danish serotype 1 Ab.IgG,MCnc,Pt,Ser,Qn,IA,Pneumo Ab Type 1,Pneumo Ab Type 1
86081-7,Streptococcus pneumoniae Danish serotype 3 Ab.IgG,MCnc,Pt,Ser,Qn,IA,Pneumo Ab Type 3,Pneumo Ab Type 3
86108-8,Streptococcus pneumoniae Danish serotype 4 Ab.IgG,MCnc,Pt,Ser,Qn,IA,Pneumo Ab Type 4,Pneumo Ab Type 4
86129-4,Streptococcus pneumoniae Danish serotype 5 Ab.IgG,MCnc,Pt,Ser,Qn,IA,Pneumo Ab Type 5,Pneumo Ab Type 5
43305-2,Neisseria gonorrhoeae rRNA,PrThr,Pt,XXX,Ord,Probe.amp.tar,"N gonorrhoeae Confirm, RNA, Varies","N gonorrhoeae Confirm, RNA, Varies"
43304-5,Chlamydia trachomatis rRNA,PrThr,Pt,XXX,Ord,Probe.amp.tar,"C trachomatis Confirm, RNA, Varies","C trachomatis Confirm, RNA, Varies"
30248-9,Transferrin receptor.soluble,MCnc,Pt,Ser/Plas,Qn,,Soluble Transferrin Receptor (sTfR),Soluble Transferrin Receptor (sTfR)
59462-2,Clinical biochemist review,Imp,Pt,XXX,Nar,,Interpretation,Interpretation
94063-5,Bacterial rpsL gene drug resistance mutation,Prid,Pt,Isolate/Specimen,Nom,Molgen,rpsL,rpsL
94062-7,Bacterial rrs gene drug resistance mutation,Prid,Pt,Isolate/Specimen,Nom,Molgen,rrs,rrs
94064-3,Bacterial eis gene drug resistance mutation,Prid,Pt,Isolate/Specimen,Nom,Molgen,eis,eis
94060-1,Bacterial gyrA gene drug resistance mutation,Prid,Pt,Isolate/Specimen,Nom,Molgen,gyrA,gyrA
101576-7,Bacterial gyrB gene drug resistance mutation,Prid,Pt,Isolate/Specimen,Nom,Molgen,gyrB,gyrB
46244-0,Mycobacterium tuberculosis complex rpoB gene rifAMPin resistance mutation,Prid,Pt,Isolate/Specimen,Nom,Molgen,rifampin (RIF) Interpretation,rifampin (RIF) Interpretation
46245-7,Mycobacterium tuberculosis pncA gene pyrazinamide resistance mutation,Prid,Pt,Isolate/Specimen,Nom,Molgen,pyrazinamide (PZA) Interpretation,pyrazinamide (PZA) Interpretation
46247-3,Mycobacterium tuberculosis embB gene ethambutol resistance mutation,Prid,Pt,Isolate/Specimen,Nom,Molgen,ethambutol (EMB) Interpretation,ethambutol (EMB) Interpretation
72866-7,Mycobacterium tuberculosis ethA gene ethionamide resistance mutation,PrThr,Pt,Isolate/Specimen,Ord,Molgen,ethionamide (ETH) Interpretation,ethionamide (ETH) Interpretation
42803-7,Bacteria,Prid,Pt,Isolate,Nom,,Organism Identification,Organism Identification
94055-1,Bacterial inhA gene drug resistance mutation,Prid,Pt,Isolate/Specimen,Nom,Molgen,inhA,inhA
94056-9,Bacterial fabG1 gene drug resistance mutation,Prid,Pt,Isolate/Specimen,Nom,Molgen,fabG1,fabG1
94054-4,Bacterial katG gene drug resistance mutation,Prid,Pt,Isolate/Specimen,Nom,Molgen,katG,katG
94057-7,Bacterial ahpC gene drug resistance mutation,Prid,Pt,Isolate/Specimen,Nom,Molgen,ahpC,ahpC
94059-3,Bacterial pncA gene drug resistance mutation,Prid,Pt,Isolate/Specimen,Nom,Molgen,pncA,pncA
94058-5,Bacterial embB gene drug resistance mutation,Prid,Pt,Isolate/Specimen,Nom,Molgen,embB,embB
94061-9,Bacterial gidB gene drug resistance mutation,Prid,Pt,Isolate/Specimen,Nom,Molgen,gidB,gidB
94065-0,Bacterial rpoB gene drug resistance mutation,Prid,Pt,Isolate/Specimen,Nom,Molgen,rpoB,rpoB
34717-9,Coxiella burnetii phase 2 Ab.IgG,Titr,Pt,Ser,SemiQn,IF,"Q Fever Phase II Ab, IgG","Q Fever Phase II Ab, IgG"
51714-4,Observation,Prid,Pt,Bld,Nom,Giemsa stain,Malaria/Babesia Smear,Malaria/Babesia Smear
3728-3,Loxapine,MCnc,Pt,Ser/Plas,Qn,,Loxapine,Loxapine
95921-3,Hydroxychloroquine,MCnc,Pt,Bld,Qn,,"Hydroxychloroquine, B","Hydroxychloroquine, B"
93356-4,Cells.cytogenetic abnormality,Num,Pt,Bld/Tiss,Qn,Molgen,Result Table,Result Table
62356-1,Chromosome analysis result in ISCN expression,Find,Pt,Bld/Tiss,Nom,Molgen,Result,Result
50397-9,Molecular diagnostic overall interpretation,PrThr,Pt,Bld/Tiss,Ord,Molgen,Result Summary,Result Summary
