Code,Name of Package
SHA-01,Ambulance and Emergency Services
SHA-03,Critical Care Services
SHA-05,Optical Health Services
SHA-06,Hematology and Oncology Services
SHA-07,Inpatient Services
SHA-08,Maternity and Child Health Services
SHA-09,Medical Imaging & Other Investigations
SHA-10,Mental Wellness Services
SHA-12,Outpatient Services
SHA-13,Palliative Care services
SHA-16,Renal Care Services
SHA-18,Essential Diagnostic Laboratory listing for NCDs
SHA-19,Surgical Services
SHA-20,Overseas treatment
