═══ SHEET 1: ACTION PERMISSIONS MATRIX ═══,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-marked with current Vitora HMIS implementation (March 2026).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Instructions: In Google Sheets, select the TRUE/FALSE cells → Data → Data Validation → Checkbox.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Then toggle checkboxes to match your facility's real-life setup.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,Admin / Records,Clinical,Clinical,Clinical,Clinical,Technical,Technical,Technical,Admin / Records,Admin / Records,Community,Admin / Records,Technical,Technical,Clinical,Technical,Technical,Technical,Technical,Allied Health,Allied Health,Allied Health,Allied Health,Allied Health,Technical,Technical,Clinical,Technical,Admin / Records,Management,Admin / Records,Admin / Records,Management
Module,Action,Description,System Administrator,Medical Doctor,Consultant,Clinical Officer,Registered Nurse,Nurse Aide,Laboratory Technician,Pharmacist,Receptionist,Medical Records Clerk,Community Health Worker,Billing Clerk,Radiographer,Sonographer,Radiologist,Radiology Assistant,MRI Technologist,CT Technologist,Nuclear Medicine Technologist,Physiotherapist,Dietitian,Occupational Therapist,Social Worker,Counsellor,Pharmacy Technologist,Laboratory Scientist,Pathologist,Phlebotomist,Cashier,Billing Supervisor,Store Keeper,HR Officer,Compliance Officer
,,,ADMIN,DOCTOR,CONSULTANT,CLINICAL_OFFICER,NURSE,NURSE_AIDE,LAB_TECH,PHARMACIST,RECEPTIONIST,RECORDS_CLERK,CHW,BILLING_CLERK,RADIOGRAPHER,SONOGRAPHER,RADIOLOGIST,RADIOLOGY_ASSISTANT,MRI_TECHNOLOGIST,CT_TECHNOLOGIST,NUCLEAR_MED_TECH,PHYSIOTHERAPIST,DIETITIAN,OCCUPATIONAL_THERAPIST,SOCIAL_WORKER,COUNSELLOR,PHARMACY_TECH,LAB_SCIENTIST,PATHOLOGIST,PHLEBOTOMIST,CASHIER,BILLING_SUPERVISOR,STORE_KEEPER,HR_OFFICER,COMPLIANCE_OFFICER
INPATIENT,inpatient.view_ward,View ward list and bed status,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
INPATIENT,inpatient.record_vitals,Record patient vital signs,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
INPATIENT,inpatient.make_rounds,Conduct ward rounds,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
INPATIENT,inpatient.prescribe,Write prescriptions for inpatients,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
INPATIENT,inpatient.administer_medication,Administer medication to patients,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
INPATIENT,inpatient.order_lab,Order laboratory investigations,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
INPATIENT,inpatient.order_imaging,Order imaging/radiology studies,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
INPATIENT,inpatient.discharge,Discharge patients from the ward,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
INPATIENT,inpatient.transfer,Transfer patients between wards,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE

PHARMACY,pharmacy.view_prescriptions,View prescription list,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PHARMACY,pharmacy.dispense,Dispense medication to patients,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
