VITORA HMIS — Module Access Matrix (Sidebar Visibility),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can this role SEE this module in the sidebar? Pre-marked with current implementation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,Admin / Records,Clinical,Clinical,Clinical,Clinical,Technical,Technical,Technical,Admin / Records,Admin / Records,Community,Admin / Records,Technical,Technical,Clinical,Technical,Technical,Technical,Technical,Allied Health,Allied Health,Allied Health,Allied Health,Allied Health,Technical,Technical,Clinical,Technical,Admin / Records,Management,Admin / Records,Admin / Records,Management
Module,Description,System Administrator,Medical Doctor,Consultant,Clinical Officer,Registered Nurse,Nurse Aide,Laboratory Technician,Pharmacist,Receptionist,Medical Records Clerk,Community Health Worker,Billing Clerk,Radiographer,Sonographer,Radiologist,Radiology Assistant,MRI Technologist,CT Technologist,Nuclear Medicine Technologist,Physiotherapist,Dietitian,Occupational Therapist,Social Worker,Counsellor,Pharmacy Technologist,Laboratory Scientist,Pathologist,Phlebotomist,Cashier,Billing Supervisor,Store Keeper,HR Officer,Compliance Officer
,,ADMIN,DOCTOR,CONSULTANT,CLINICAL_OFFICER,NURSE,NURSE_AIDE,LAB_TECH,PHARMACIST,RECEPTIONIST,RECORDS_CLERK,CHW,BILLING_CLERK,RADIOGRAPHER,SONOGRAPHER,RADIOLOGIST,RADIOLOGY_ASSISTANT,MRI_TECHNOLOGIST,CT_TECHNOLOGIST,NUCLEAR_MED_TECH,PHYSIOTHERAPIST,DIETITIAN,OCCUPATIONAL_THERAPIST,SOCIAL_WORKER,COUNSELLOR,PHARMACY_TECH,LAB_SCIENTIST,PATHOLOGIST,PHLEBOTOMIST,CASHIER,BILLING_SUPERVISOR,STORE_KEEPER,HR_OFFICER,COMPLIANCE_OFFICER
dashboard,Main dashboard and overview,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
checkin,Patient check-in / queue,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
patients,Patient registry and records,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
triage,Triage assessment queue,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
emergency,Emergency department,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
surveillance,Disease surveillance & IDSR reporting,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
clinics,"Outpatient clinics (OPD, MCH, etc.)",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
encounters,Clinical encounters / consultations,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
